7zip 26.01-1
acpi_call 1.2.2-357
age 1.3.1-1
alsa-utils 1.2.16-1
android-tools 35.0.2-27
arch-audit 0.2.0-5
arch-install-scripts 31-1
aria2 1.37.0-3
at 3.2.5-5
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bat 0.26.1-2
bc 1.08.2-1
bind 9.20.24-1
bitwarden-cli 2026.2.0-1
blueman 2.4.6-2
bluez 5.86-6
bluez-utils 5.86-6
brightnessctl 0.5.1-3
btop 1.4.7-1
calibre 8.7.0-12
capitaine-cursors 4-3
cdrtools 3.02a09-6
chrony 4.8-3
cliphist 1:0.7.0-2
cockpit 364-1
cockpit-packagekit 364-1
cockpit-storaged 364-1
deno 2.8.3-1
dnscrypt-proxy 2.1.16-1
dolphin-emu 1:2603.1-2
dosfstools 4.2-5
dust 1.2.4-2
efibootmgr 18-4
ethtool 1:7.0-1
exfatprogs 1.4.2-1
eza 0.23.4-3
fd 10.4.2-2
fdupes 1:2.4.0-2
ffmpegthumbnailer 2.3.0-1
fish 4.7.1-1
foot 1.27.0-1
foot-terminfo 1.27.0-1
freerdp 2:3.27.1-1
fuse-overlayfs 1.17-1
fuzzel 1.14.1-1
fzf 0.72.0-1
ghostscript 10.07.1-1
git 2.54.0-1
git-crypt 0.8.0-1
git-delta 0.19.2-2
git-filter-repo 2.47.0-3
go 2:1.26.4-1
gptfdisk 1.0.10-2
grim 1.5.0-2
hexyl 0.17.0-1
hledger 1.52.1-48
hledger-ui 1.52.1-51
hledger-web 1.52.1-63
httpie 3.2.4-2
hugo 0.164.0-1
hunspell 1.7.3-1
hunspell-en_gb 2026.02.25-1
hyprpicker 0.4.7-1
imagemagick 7.1.2.26-1
img2pdf 0.6.3-1
imv 5.0.1-1
incus 7.1.0-2
intel-media-driver 26.1.5-1
intel-ucode 20260512-1
inter-font 4.1-1
ipython 9.12.0-1
jq 1.8.2-1
keyd 2.6.0-5
kitty 0.47.1-1
kubeadm 1.36.2-1
kvantum 1.1.8-1
lazygit 0.62.2-1
less 1:704-1
libnotify 0.8.8-1
libva-utils 2.23.0-1
linux 7.0.12.arch1-1
linux-firmware 20260519-1
linux-headers 7.0.12.arch1-1
lshw B.02.20-3
ltrace 0.8.1-1
lvm2 2.03.41-1
ly 1.4.1-1
mako 1.11.0-1
man-db 2.13.1-1
meld 3.24.0-1
mise 2026.6.11-1
mpc 0.35-2
mpd 0.24.12-1
mpv 1:0.41.0-3
nano 9.0-1
ncmpcpp 0.10.1-8
neovim 0.12.3-1
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
niri 26.04-1
nmap 7.99-2
noto-fonts-emoji 1:2.051-1
npm 11.16.0-1
nss-mdns 0.15.1-2
ntfs-3g 2026.2.25-1
nvme-cli 2.16-2
nwg-displays 0.4.3-1
nwg-look 1.1.1-3
nyx 2.1.0-10
obsidian 1.12.7-3
openbsd-netcat 1.238_1-1
openresolv 3.17.4-1
openssh 10.3p1-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
papirus-icon-theme 20250501-1
pavucontrol 1:6.2-1
perl-image-exiftool 13.55-1
pipewire-alsa 1:1.6.7-1
pipewire-pulse 1:1.6.7-1
pkgfile 25-2
podman 5.8.3-1
podman-compose 1.6.0-1
polkit-kde-agent 6.7.1-1
poppler 26.06.0-1
postgresql 18.4-1
ppsspp 1.20.4-4
procs 0.14.11-1
python-matplotlib 3.11.0-1
python-mutagen 1.47.0-4
python-numpy 2.5.1-1
python-pip 26.1.2-1
python-pygame 2.6.1-5
python-rich 15.0.0-1
python-watchdog 6.0.0-2
python-yaml 6.0.3-2
qt5-wayland 5.15.19+kde+r55-1
qt5ct 1.9-2
qt6-wayland 6.11.1-1
qt6ct 0.11-7
reflector 2023-5
ripgrep 15.1.0-4
rkhunter 1.4.6-4
rofimoji 6.7.0-2
rust 1:1.96.0-1
seahorse 1:47.0.1-6
silicon 0.5.3-2
slirp4netns 1.3.4-1
slurp 1.5.0-2
smartmontools 7.5-1
speedtest-cli 2.1.3-10
starship 1.25.1-1
strace 7.0-1
swappy 1.8.0-1
sway 1:1.12-4
swaybg 1.2.2-1
swayidle 1.9.0-1
swaylock 1.8.5-1
swayosd 0.3.1-1
tea 0.14.1-1
terminus-font 4.49.1-8
tigervnc 1.16.2-4
tldr 3.4.4-1
tlp 1.10.1-1
tlp-rdw 1.10.1-1
tmux 3.6_b-2
tor 0.4.9.9-1
torsocks 2.5.0-1
traceroute 2.1.6-1
transmission-cli 4.1.1-1
tree-sitter-cli 0.26.9-1
ttf-jetbrains-mono-nerd 3.4.0-2
ufw 0.36.2-7
unrar 1:7.2.6-1
unzip 6.0-23
uwsm 0.26.5-1
virt-viewer 11.0-4
vnstat 2.13-2
vulkan-intel 1:26.1.3-2
waybar 0.15.0-2
wf-recorder 0.6.0-1
whois 5.6.6-1
wireguard-tools 1.0.20260223-1
wl-clipboard 1:2.3.0-1
wtype 0.4-2
xdg-desktop-portal-gtk 1.15.3-1
xorg-xwayland 24.1.13-1
yazi 26.5.6-4
yt-dlp 2026.06.09-1
zathura 2026.05.20-1
zathura-pdf-mupdf 2026.05.10-3
zip 3.0-13
zola 0.22.1-2
zoxide 0.9.9-2
zsh 5.9.1-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-doc 5.9.1-1
zsh-history-substring-search 1.1.0-2
zsh-syntax-highlighting 0.8.0-2
